Component,Name,Start_Time,End_Time,Total_Time,Assembly_Time,Main_Assembly_Time,Transport_Time,Status,Transport_Delay
GraphicsCard,GraphicsCard_0,0,0.0,0.0,0,4,3,Failed: 'graphicscard',7.0
GraphicsCard,GraphicsCard_1,0,0.0,0.0,1,4,3,Failed: 'graphicscard',8.0
GraphicsCard,GraphicsCard_2,0,0.0,0.0,2,7,3,Failed: 'graphicscard',12.0
GraphicsCard,GraphicsCard_3,0,0.0,0.0,3,2,3,Failed: 'graphicscard',8.0
GraphicsCard,GraphicsCard_4,0,0.0,0.0,4,3,3,Failed: 'graphicscard',10.0
GraphicsCard,GraphicsCard_5,0,0.0,0.0,5,6,3,Failed: 'graphicscard',14.0
GraphicsCard,GraphicsCard_6,0,0.0,0.0,6,2,3,Failed: 'graphicscard',11.0
GraphicsCard,GraphicsCard_7,0,0.0,0.0,7,7,3,Failed: 'graphicscard',17.0
GraphicsCard,GraphicsCard_8,0,0.0,0.0,8,5,3,Failed: 'graphicscard',16.0
GraphicsCard,GraphicsCard_9,0,0.0,0.0,9,3,3,Failed: 'graphicscard',15.0
PowerSupply,PowerSupply_0,0,0.0,0.0,0,6,4,Failed: 'powersupply',10.0
PowerSupply,PowerSupply_1,0,0.0,0.0,1,3,4,Failed: 'powersupply',8.0
PowerSupply,PowerSupply_2,0,0.0,0.0,2,6,4,Failed: 'powersupply',12.0
PowerSupply,PowerSupply_3,0,0.0,0.0,3,7,4,Failed: 'powersupply',14.0
PowerSupply,PowerSupply_4,0,0.0,0.0,4,5,4,Failed: 'powersupply',13.0
PowerSupply,PowerSupply_5,0,0.0,0.0,5,3,4,Failed: 'powersupply',12.0
PowerSupply,PowerSupply_6,0,0.0,0.0,6,4,4,Failed: 'powersupply',14.0
PowerSupply,PowerSupply_7,0,0.0,0.0,7,4,4,Failed: 'powersupply',15.0
PowerSupply,PowerSupply_8,0,0.0,0.0,8,2,4,Failed: 'powersupply',14.0
PowerSupply,PowerSupply_9,0,0.0,0.0,9,4,4,Failed: 'powersupply',17.0
Motherboard,Motherboard_0,0,0.0,0.0,0,7,6,Failed: 'motherboard',13.0
Motherboard,Motherboard_1,0,0.0,0.0,1,5,6,Failed: 'motherboard',12.0
Motherboard,Motherboard_2,0,0.0,0.0,2,7,6,Failed: 'motherboard',15.0
Motherboard,Motherboard_3,0,0.0,0.0,3,7,6,Failed: 'motherboard',16.0
Motherboard,Motherboard_4,0,0.0,0.0,4,5,6,Failed: 'motherboard',15.0
Motherboard,Motherboard_5,0,0.0,0.0,5,3,6,Failed: 'motherboard',14.0
Motherboard,Motherboard_6,0,0.0,0.0,6,4,6,Failed: 'motherboard',16.0
Motherboard,Motherboard_7,0,0.0,0.0,7,3,6,Failed: 'motherboard',16.0
